Date,Open,High,Low,Close,Volume
2024-06-10,55900,57400,55600,55900,2482
2024-06-11,55300,56000,55200,56000,1099
2024-06-12,55500,57500,55500,57000,2405
2024-06-13,56800,56800,56100,56200,1498
2024-06-14,56100,56200,55400,56000,2044
2024-06-17,59700,59700,55700,55700,7597
2024-06-18,55500,56300,54500,55300,2006
2024-06-19,54800,55200,54000,54000,2069
2024-06-20,53600,54300,53000,53700,2264
2024-06-21,54000,54300,53300,53300,1158
2024-06-24,53000,54000,53000,53100,783
2024-06-25,53500,53500,51800,52800,1766
2024-06-26,52300,53300,52000,52300,1161
2024-06-27,52300,52500,51700,51900,412
2024-06-28,51700,52400,51700,51800,391
2024-07-01,51800,54700,51800,53400,2172
2024-07-02,53300,54300,52800,53500,602
2024-07-03,53500,53600,52500,52500,496
2024-07-04,52000,52500,51600,52000,1581
2024-07-05,51700,52400,51700,52300,1265
2024-07-08,52100,53400,52000,52600,960
2024-07-09,52400,53000,52000,52800,922
2024-07-10,52700,52700,51700,52500,1798
2024-07-11,52100,52700,52000,52100,568
2024-07-12,52300,52500,51600,52200,535
2024-07-15,53300,59700,53000,55000,21043
2024-07-16,55000,58000,55000,56000,7508
2024-07-17,56200,58100,54900,56200,7177
2024-07-18,56300,60200,56200,59000,19700
2024-07-19,58900,76000,58000,70800,385718
2024-07-22,76800,84300,70100,72400,343234
2024-07-23,68900,72400,67000,72000,86511
2024-07-24,69300,69700,64400,64400,44073
2024-07-25,64200,68000,60900,64400,69145
2024-07-26,64100,66200,62100,64500,29959
2024-07-29,64500,64800,62100,62200,20659
2024-07-30,61500,71000,59800,66400,102928
2024-07-31,64200,65700,61400,62500,33165
2024-08-01,61500,63900,60900,61400,16656
2024-08-02,60700,61200,57600,57600,20569
2024-08-05,56800,56800,47600,50400,25897
2024-08-06,50400,53900,50400,53600,14291
2024-08-07,53700,55200,53200,53500,9518
2024-08-08,53100,53900,51900,52200,6125
2024-08-09,53900,55500,52700,54100,10568
2024-08-12,54100,57000,54100,55800,5707
2024-08-13,55300,56100,53900,54200,5765
2024-08-14,54400,55000,52800,53600,5894
2024-08-16,53700,54100,52700,53600,4360
2024-08-19,53600,53600,52500,52900,4162
2024-08-20,52900,53800,52700,53500,4605
2024-08-21,53300,54800,52400,54300,8855
2024-08-22,54400,55000,53100,54600,7190
2024-08-23,54100,54900,53500,54200,4138
2024-08-26,53400,54000,53000,53000,4020
2024-08-27,52900,52900,51600,52300,4314
2024-08-28,52300,52500,51000,51500,2511
2024-08-29,50600,51800,50600,51100,2187
2024-08-30,51100,52100,50700,50700,2637
2024-09-02,51400,53000,51000,51900,3254
2024-09-03,51900,53500,51000,52300,3765
2024-09-04,51200,51500,50700,50700,3223
2024-09-05,50700,51800,49750,49850,3490
2024-09-06,49750,49950,48950,49350,2797
2024-09-09,49050,50400,48000,49600,2429
2024-09-10,49600,50500,49350,49600,1553
2024-09-11,49600,54200,49600,50900,8964
2024-09-12,50500,51600,50300,51000,1686
2024-09-13,52000,52000,50200,50400,2764
2024-09-19,50800,50800,49900,49900,1673
2024-09-20,50100,53000,50100,50200,4384
2024-09-23,50000,52500,50000,51000,3484
2024-09-24,50500,52100,50500,51400,2197
2024-09-25,51400,51800,50900,51000,1145
2024-09-26,50500,51500,50500,51300,1611
2024-09-27,51400,51800,51100,51100,1086
2024-09-30,51100,51100,50000,50100,2257
2024-10-02,49750,51400,48200,49900,2008
2024-10-04,49500,50300,49500,50200,873
2024-10-07,49900,50200,48300,49100,3316
2024-10-08,49100,49450,48850,49100,2769
2024-10-10,48700,49900,48700,49800,913
2024-10-11,48900,51200,48900,51000,2681
2024-10-14,50500,51300,50500,50900,2250
2024-10-15,51100,53000,51100,52300,5819
2024-10-16,52000,53700,51700,52300,5607
2024-10-17,51900,54200,51900,53700,5251
2024-10-18,53500,54200,53100,53500,3720
2024-10-21,54200,54200,53000,53400,5212
2024-10-22,52200,53800,52200,53200,3405
2024-10-23,53000,56500,52500,55700,8499
2024-10-24,55700,57900,53000,53800,9569
2024-10-25,53800,54000,52000,52200,3494
2024-10-28,51700,54000,51700,52800,3566
2024-10-29,52900,64500,52900,62200,123815
2024-10-30,62400,63100,58100,59200,32231
2024-10-31,57700,60500,55200,56000,22439
2024-11-01,57900,57900,54300,54700,13534
2024-11-04,54500,55400,52800,54800,10071
2024-11-05,54300,56000,54300,56000,8226
2024-11-06,55100,65500,55000,61300,164060
2024-11-07,58600,58800,55700,56900,38603
2024-11-08,55900,60500,55800,60100,24963
2024-11-11,60800,64900,59100,60800,40695
2024-11-12,60600,61700,57800,58000,27398
2024-11-13,57700,58600,56300,56500,11671
2024-11-14,56600,59500,56000,56800,9577
2024-11-15,56300,59500,54900,58300,18001
2024-11-18,57800,58600,56500,57000,9215
2024-11-19,57200,57500,55100,55300,8987
2024-11-20,55200,55300,54000,55000,3787
2024-11-21,54700,56900,54100,55300,4908
2024-11-22,55000,56400,54600,55000,4772
2024-11-25,56800,58500,52700,56300,11467
2024-11-26,55600,56800,55600,56800,2182
2024-11-27,64200,73800,63100,73800,119925
2024-11-28,67200,69400,63500,63700,252363
2024-11-29,61300,63600,60100,61400,38589
2024-12-02,61200,62000,58800,59600,30030
2024-12-03,60000,61100,59300,60800,17205
2024-12-04,60700,65700,59500,62400,72780
2024-12-05,60500,61900,58100,59500,19877
2024-12-06,58500,72900,56700,64900,199740
2024-12-09,62500,73700,61000,71400,173564
2024-12-10,70400,79300,68400,72200,146794
2024-12-11,73500,82500,72500,77800,125382
2024-12-12,77800,80500,75100,76500,56895
2024-12-13,79700,90600,78200,88000,199959
2024-12-16,89100,90000,84200,85000,88107
2024-12-17,84000,85800,79600,79600,50485
2024-12-18,79000,81100,77200,79500,49963
2024-12-19,84200,88000,76100,77800,155693
2024-12-20,78000,83000,76400,78600,46761
2024-12-23,78600,79600,77000,77500,22625
2024-12-24,76800,78500,75600,77200,13291
2024-12-26,76300,77700,74800,75200,18409
2024-12-27,74200,76900,73100,75100,16747
2024-12-30,73500,75700,72200,74500,12873
2025-01-02,73000,77100,72400,77000,12283
2025-01-03,76500,78100,75800,77900,12709
2025-01-06,77300,78000,76500,76500,11907
2025-01-07,76900,80800,76300,77900,20660
2025-01-08,76800,77100,74900,76000,13428
2025-01-09,75100,76600,74700,75200,5847
2025-01-10,75100,77200,74500,76900,12036
2025-01-13,77200,81500,75500,78000,33230
2025-01-14,77800,80000,77000,78400,13047
2025-01-15,78000,80600,77600,78900,12343
2025-01-16,78900,79600,78100,79500,5102
2025-01-17,79200,82100,79200,81100,17453
2025-01-20,81300,81300,78100,78400,12193
2025-01-21,76600,89200,76500,80800,131788
2025-01-22,80000,82000,79500,80900,23104
2025-01-23,81800,83100,78200,79300,18698
2025-01-24,78100,84600,76900,82200,45792
2025-01-31,78500,78600,76300,77000,26220
2025-02-03,75100,75100,69200,69200,20692
2025-02-04,68900,72300,68900,71600,8235
2025-02-05,71700,73300,71100,71900,5471
2025-02-06,72700,75400,72700,74000,9296
2025-02-07,74000,75300,73400,74600,6606
2025-02-10,75100,77500,74200,75300,14460
2025-02-11,75600,76000,73900,75100,7118
2025-02-12,75100,75500,72300,73100,10895
2025-02-13,74600,78100,74600,75700,18329
2025-02-14,76300,76500,74000,74900,5944
2025-02-17,74300,75600,74200,74300,5213
2025-02-18,74600,75000,73700,74400,4260
2025-02-19,75000,77700,73400,75500,16086
2025-02-20,75600,76200,74700,75700,4964
2025-02-21,75100,76100,74600,75900,5810
2025-02-24,75600,80500,75500,77000,9668
2025-02-25,76300,77500,75800,76000,3657
2025-02-26,75600,78900,75600,78300,12460
2025-02-27,78600,78600,76800,77300,4755
2025-02-28,76000,77000,74400,74900,8824
2025-03-04,71500,73500,71000,72300,7152
2025-03-05,72700,75900,72700,75500,6196
2025-03-06,76000,77400,74800,74800,7330
2025-03-07,74300,76000,72600,72600,9083
2025-03-10,72600,73100,70700,71500,8604
2025-03-11,69100,71800,69100,71000,6524
2025-03-12,70900,73500,70900,71800,3016
2025-03-13,71800,73400,69100,72900,3753
2025-03-14,74300,75100,72900,74400,6250
2025-03-17,73400,74700,72500,73400,3290
2025-03-18,72700,74500,72200,73500,5181
2025-03-19,73300,74400,70600,71000,10663
2025-03-20,71000,71600,70100,70600,2714
2025-03-21,70200,70400,68600,69700,6895
2025-03-24,69300,69400,68000,68400,6876
2025-03-25,68200,68700,66000,66900,10241
2025-03-26,66900,70300,66900,70300,6885
2025-03-27,70200,72200,68800,70000,8064
2025-03-28,69500,70000,67900,68200,5986
2025-03-31,66400,66700,63800,64400,7952
2025-04-01,67500,71800,66000,71200,22759
2025-04-02,71700,74500,69500,70100,19700
2025-04-03,68500,72600,68300,71200,10798
2025-04-04,70400,82500,70400,77300,70660
2025-04-07,76000,81500,73400,78200,67146
2025-04-08,77800,83000,77100,80000,44086
2025-04-09,79800,81000,76600,77000,20336
