Date,Open,High,Low,Close,Volume
2024-06-10,6260,6370,6120,6180,15572
2024-06-11,6180,6230,6000,6180,11285
2024-06-12,6090,6200,6020,6200,14701
2024-06-13,6140,6320,6120,6200,16412
2024-06-14,6190,6620,6190,6450,34660
2024-06-17,6450,6450,6250,6400,13482
2024-06-18,6370,6400,6150,6330,12395
2024-06-19,6260,6390,6000,6170,21902
2024-06-20,6070,6270,6070,6070,13034
2024-06-21,6020,6140,6020,6040,6049
2024-06-24,6040,6080,5920,6030,46194
2024-06-25,6150,6400,6100,6350,26931
2024-06-26,6420,6840,6240,6650,50343
2024-06-27,6650,6800,6500,6650,30577
2024-06-28,6680,6900,6600,6650,31566
2024-07-01,6620,6900,6620,6790,31679
2024-07-02,6790,6850,6670,6750,22075
2024-07-03,6660,6830,6660,6770,12461
2024-07-04,6770,7050,6720,6900,57935
2024-07-05,6900,6900,6520,6730,31166
2024-07-08,6730,6770,6070,6290,37612
2024-07-09,6310,6390,6000,6200,49290
2024-07-10,6290,6290,5980,6120,34378
2024-07-11,6180,6190,6060,6160,24659
2024-07-12,6160,6270,6110,6260,15261
2024-07-15,6260,6260,5640,5940,63215
2024-07-16,5930,6080,5800,6030,19359
2024-07-17,6500,6590,5950,6090,171062
2024-07-18,6090,6100,5950,6040,25211
2024-07-19,6040,6160,5900,6110,21780
2024-07-22,6050,6200,5970,6150,31865
2024-07-23,6250,6300,6120,6170,32148
2024-07-24,6210,6530,6020,6390,52313
2024-07-25,6290,6330,5990,6120,46672
2024-07-26,6110,6300,6030,6150,26382
2024-07-29,6160,6640,6130,6200,38976
2024-07-30,6190,6380,6180,6330,36680
2024-07-31,6310,6310,6020,6020,29340
2024-08-01,6090,6130,5990,6070,16360
2024-08-02,5930,6070,5850,5910,31946
2024-08-05,5900,5900,4140,4730,135633
2024-08-06,4450,5090,4430,5030,74078
2024-08-07,4980,5270,4980,5090,15403
2024-08-08,5150,5190,4980,5080,13895
2024-08-09,5120,5240,5120,5240,5935
2024-08-12,5240,5370,5130,5160,12850
2024-08-13,5410,5410,5020,5120,10936
2024-08-14,5170,5170,5050,5100,9251
2024-08-16,5100,5280,5000,5070,18078
2024-08-19,5030,5150,4950,5120,8521
2024-08-20,5120,5190,5020,5150,5695
2024-08-21,5280,5310,5060,5130,4485
2024-08-22,5090,5120,4935,5110,15122
2024-08-23,5100,5100,4955,5070,9817
2024-08-26,5070,6160,5000,5370,165515
2024-08-27,5330,5400,5150,5240,19681
2024-08-28,5160,5500,5160,5390,22510
2024-08-29,5230,6010,5230,5560,69102
2024-08-30,5780,5780,5410,5540,21901
2024-09-02,5480,5480,5150,5290,22135
2024-09-03,5290,5300,5180,5280,9097
2024-09-04,5220,5280,5060,5250,8381
2024-09-05,5270,5270,5010,5120,17318
2024-09-06,5120,5120,4950,5040,13983
2024-09-09,4995,5230,4940,5230,10414
2024-09-10,5290,5290,5210,5250,1279
2024-09-11,5250,5280,5140,5210,4940
2024-09-12,5170,5210,5110,5120,4355
2024-09-13,5120,5240,5000,5130,19988
2024-09-19,5120,5120,4975,5110,9370
2024-09-20,5100,5270,5060,5150,11125
2024-09-23,5200,5260,5060,5150,4273
2024-09-24,5040,5160,5040,5150,11725
2024-09-25,5100,5120,5050,5070,3697
2024-09-26,5140,5140,5010,5070,4362
2024-09-27,5030,5110,4935,5070,7206
2024-09-30,5090,5110,5040,5090,7228
2024-10-02,5140,5200,5050,5130,7240
2024-10-04,5010,5180,5010,5180,5188
2024-10-07,5200,5200,4780,4900,42144
2024-10-08,4940,5060,4820,4990,16950
2024-10-10,4990,4990,4690,4800,22043
2024-10-11,4790,4800,4320,4580,58517
2024-10-14,4670,4670,4460,4570,8945
2024-10-15,4500,4570,4150,4510,49577
2024-10-16,4485,4910,4470,4905,17394
2024-10-17,4830,4920,4750,4750,10642
2024-10-18,4845,4960,4640,4825,8372
2024-10-21,4810,4835,4750,4765,2563
2024-10-22,4725,4800,4680,4730,3366
2024-10-23,4775,4775,4585,4725,5494
2024-10-24,4675,4730,4420,4490,12940
2024-10-25,4480,4565,4390,4495,16452
2024-10-28,4490,4565,4310,4330,21838
2024-10-29,4330,4355,3950,4145,48953
2024-10-30,4155,4285,3910,4285,15095
2024-10-31,4370,4370,4155,4280,6045
2024-11-01,4280,4325,4220,4285,4120
2024-11-04,4395,4430,4245,4370,17128
2024-11-05,4370,4390,4310,4310,4577
2024-11-06,4315,4370,4310,4350,2326
2024-11-07,4445,4445,4110,4320,4634
2024-11-08,4315,4375,4210,4375,7869
2024-11-11,4375,5470,4375,4950,209501
2024-11-12,4950,5250,4550,4985,44675
2024-11-13,5000,5190,4900,5050,21135
2024-11-14,5100,5100,4705,4750,22506
2024-11-15,4705,4880,4610,4880,9320
2024-11-18,4820,4890,4705,4815,8511
2024-11-19,4890,4930,4775,4925,7044
2024-11-20,4880,4945,4810,4905,5590
2024-11-21,4845,4940,4515,4770,21611
2024-11-22,4720,4770,4310,4650,12629
2024-11-25,4650,4740,4500,4650,12987
2024-11-26,4650,4735,4570,4570,2770
2024-11-27,4510,4640,4500,4575,4305
2024-11-28,4595,4675,4555,4585,1990
2024-11-29,4535,4650,4495,4585,4986
2024-12-02,4650,4675,4570,4615,10788
2024-12-03,4600,4680,4560,4670,4370
2024-12-04,4675,4745,4340,4620,8566
2024-12-05,4575,4620,4490,4550,1872
2024-12-06,4550,4620,4260,4495,5596
2024-12-09,4585,4585,4205,4290,5842
2024-12-10,4290,4665,4200,4550,8258
2024-12-11,4370,4640,4370,4590,3634
2024-12-12,4690,4690,4475,4620,5217
2024-12-13,4695,4695,4510,4655,7495
2024-12-16,4660,4745,4570,4655,10336
