Date,Open,High,Low,Close,Volume
2024-06-10,58000,59200,57200,58100,62028
2024-06-11,59200,60300,57100,59500,84733
2024-06-12,59500,60300,58000,59200,87303
2024-06-13,59200,60300,56200,56400,230942
2024-06-14,55900,57100,54200,55400,172574
2024-06-17,55400,57900,55000,56500,52204
2024-06-18,56500,56800,55300,56300,86103
2024-06-19,56300,56300,53800,55800,125892
2024-06-20,56100,57500,55000,57300,96931
2024-06-21,57300,58900,56000,56800,118747
2024-06-24,56800,58900,56400,58500,122716
2024-06-25,59000,59000,57200,58700,60657
2024-06-26,58200,59100,57500,59000,44964
2024-06-27,57900,58700,56700,58300,80350
2024-06-28,58800,59500,58000,59100,62451
2024-07-01,59500,59600,58300,58600,29672
2024-07-02,58100,58200,56500,57400,45880
2024-07-03,57100,57800,54900,56600,126703
2024-07-04,57300,57300,55600,56300,65576
2024-07-05,56600,57000,56000,56400,53492
2024-07-08,56000,56800,55400,55900,47366
2024-07-09,56100,57000,55600,55900,30365
2024-07-10,55700,59000,55700,57900,83781
2024-07-11,57500,58400,56700,57500,49541
2024-07-12,57800,59400,57500,59000,84437
2024-07-15,59400,59400,57900,58100,47854
2024-07-16,58600,58700,56900,56900,33176
2024-07-17,57600,59200,55800,58100,75342
2024-07-18,58500,58500,56100,56700,75561
2024-07-19,56300,56400,53900,55100,119924
2024-07-22,55400,55400,53500,54300,45771
2024-07-23,54300,55000,53400,53700,45741
2024-07-24,53200,54900,52900,54400,25174
2024-07-25,54800,54800,52900,53900,47862
2024-07-26,54400,55300,53200,54900,55890
2024-07-29,54900,56000,54500,55000,24853
2024-07-30,54500,56500,54500,56200,34786
2024-07-31,56600,56800,55200,56200,46992
2024-08-01,55700,60000,55100,59700,145724
2024-08-02,58600,58600,51300,54500,366110
2024-08-05,53500,53500,45500,47550,226988
2024-08-06,48750,49700,44500,44500,364320
2024-08-07,44600,45500,43350,44450,208145
2024-08-08,44450,44850,43500,44200,121790
2024-08-09,44650,44950,43000,43700,109322
2024-08-12,43950,45650,43850,45400,93691
2024-08-13,45050,45550,44650,44900,36965
2024-08-14,45400,45750,44350,45750,77246
2024-08-16,46200,46300,45150,45150,48265
2024-08-19,45300,46000,45300,45600,68113
2024-08-20,45900,46250,45350,46200,34489
2024-08-21,46400,49300,45850,48600,116277
2024-08-22,48900,48950,47550,47750,28876
2024-08-23,47850,48000,47200,47550,31676
2024-08-26,47700,49050,47700,48100,39270
2024-08-27,48950,48950,47200,47850,42792
2024-08-28,48200,48200,46750,46950,27700
2024-08-29,46700,47050,45650,46600,47446
2024-08-30,46350,46900,45800,46100,33852
2024-09-02,46100,46500,45600,46150,16669
2024-09-03,46400,47400,46200,46500,41767
2024-09-04,45150,45500,43950,44200,79934
2024-09-05,44350,44800,42250,43150,97705
2024-09-06,43000,43000,41550,42100,80684
2024-09-09,41300,41950,40900,41950,65074
2024-09-10,41700,42450,41350,41850,57337
2024-09-11,41650,41750,40750,41300,56661
2024-09-12,41800,42350,41100,42350,57776
2024-09-13,42100,42950,41550,42400,22160
2024-09-19,42800,43250,42050,42900,36516
2024-09-20,43150,43400,41450,41450,75145
2024-09-23,41850,41850,40450,40500,90787
2024-09-24,40600,43450,40100,43450,114880
2024-09-25,44000,44350,42300,42350,76662
2024-09-26,42800,43900,42400,43550,51206
2024-09-27,43900,45600,43300,44950,74294
2024-09-30,45600,45650,43800,43950,44408
2024-10-02,43200,44650,42950,44000,46620
2024-10-04,44050,44850,43650,44050,32736
2024-10-07,43650,45500,43650,45050,37924
2024-10-08,45250,45250,43950,43950,31115
2024-10-10,44800,44800,43600,43600,36375
2024-10-11,44300,44450,42900,43200,22866
2024-10-14,43000,44000,42850,43550,25402
2024-10-15,43300,43800,42500,42550,27993
2024-10-16,42200,42400,41800,42200,21504
2024-10-17,41950,42450,41450,42100,40741
2024-10-18,42650,42650,41500,42100,19065
2024-10-21,42600,42950,42000,42300,22520
2024-10-22,42200,42450,41250,41500,32049
2024-10-23,42000,42000,41050,41450,39384
2024-10-24,41500,41500,40250,40700,42759
2024-10-25,41050,41050,39500,39550,36322
2024-10-28,39700,41200,39600,40850,43560
2024-10-29,40450,40850,39700,40200,33984
2024-10-30,40900,40900,39500,39600,53415
2024-10-31,39700,40950,38750,40950,45802
2024-11-01,40550,41000,40100,40150,31738
2024-11-04,40650,40650,38400,38650,180246
2024-11-05,38450,39050,37650,37700,121049
2024-11-06,38000,38050,36800,37000,110084
2024-11-07,36850,37200,36400,36700,38832
2024-11-08,37050,37250,35850,35950,76475
2024-11-11,35950,36000,34800,35050,95351
2024-11-12,34750,35350,34300,34500,96986
2024-11-13,34000,35000,33700,33750,54022
2024-11-14,33750,34600,33250,33700,81487
2024-11-15,33750,34600,33400,34200,60467
2024-11-18,34000,35350,33950,34950,46817
2024-11-19,34950,35300,34550,34700,28470
2024-11-20,34950,35900,34850,35750,45760
2024-11-21,36300,36300,35450,35650,31153
2024-11-22,35600,36150,35300,35500,29542
2024-11-25,35850,36100,35650,35950,43886
2024-11-26,35550,35700,35300,35500,43323
2024-11-27,35500,35900,34850,34950,46843
2024-11-28,34950,36350,34950,36000,64623
2024-11-29,36350,36400,34550,34600,54302
2024-12-02,34950,35200,34400,34500,42957
2024-12-03,34800,35450,34800,35250,59770
2024-12-04,34800,34950,34250,34600,48441
2024-12-05,34450,34450,33200,33200,61091
2024-12-06,33400,33700,31950,32450,100326
2024-12-09,31750,32350,30500,30700,74808
2024-12-10,31300,33350,31000,33100,50370
2024-12-11,32850,33550,32750,33300,20058
2024-12-12,33300,33800,32400,32800,67375
2024-12-13,32650,33400,32600,33150,49294
2024-12-16,33600,33800,32750,33000,33594
2024-12-17,33400,33450,32750,32950,26013
2024-12-18,33300,33550,32850,33500,30342
2024-12-19,32800,33250,32450,32850,27959
2024-12-20,32750,33050,32300,32800,33890
2024-12-23,33100,33800,32800,33800,31168
2024-12-24,33900,34600,33650,33800,34650
2024-12-26,34150,34300,33500,33550,33557
2024-12-27,32800,33350,31650,32100,55429
2024-12-30,32300,32550,31550,31600,20710
2025-01-02,31650,31700,30800,31050,33913
2025-01-03,30800,32950,30800,32500,34514
2025-01-06,32700,33550,32100,33200,34074
2025-01-07,33200,33600,32200,32450,63022
2025-01-08,32100,33150,32100,32750,40387
2025-01-09,32700,32700,31250,31250,118770
2025-01-10,31100,31500,31000,31300,32529
2025-01-13,30800,31150,30650,30900,36816
2025-01-14,30700,31350,30700,31250,23488
2025-01-15,31250,31600,30850,30900,18961
2025-01-16,31150,31550,30950,31250,18228
2025-01-17,31000,31300,30850,31000,15240
2025-01-20,31000,31700,31000,31450,27371
2025-01-21,31450,32150,31050,31800,38683
2025-01-22,32100,32100,31200,31400,45130
2025-01-23,31850,31850,31100,31150,26078
2025-01-24,31500,31750,30950,31700,32707
2025-01-31,32000,32200,31400,31950,48992
2025-02-03,31650,31650,30300,30600,63928
2025-02-04,30900,31350,30600,30600,29261
2025-02-05,30800,32000,30800,31200,35561
2025-02-06,31200,32150,31200,32150,40188
2025-02-07,32500,33050,31500,31500,75464
2025-02-10,31700,32000,30800,31700,34398
2025-02-11,31550,32350,31400,32050,25345
2025-02-12,32450,32450,31650,31750,25874
2025-02-13,31950,33600,31900,33300,130861
2025-02-14,33500,33600,32900,33100,44877
2025-02-17,33100,34850,33000,34450,88634
2025-02-18,34450,34700,33850,34550,53475
2025-02-19,34100,34750,34100,34150,60018
2025-02-20,34200,34800,34200,34550,43902
2025-02-21,34700,34700,33950,34050,40785
2025-02-24,33900,34750,33800,34550,34492
2025-02-25,34100,34600,33950,34050,27594
2025-02-26,34200,35700,33900,35350,89639
2025-02-27,35350,35750,34900,35450,28323
2025-02-28,35000,35000,33450,33450,55923
2025-03-04,33500,33550,32550,32800,30663
2025-03-05,33100,35850,32800,35000,130679
2025-03-06,35000,35550,34450,35000,50121
2025-03-07,34750,36900,34600,35700,157416
2025-03-10,35950,36250,34950,36000,52748
2025-03-11,34550,35600,34550,35500,55942
2025-03-12,35150,37100,35100,36500,74399
2025-03-13,36200,37000,35700,35700,49611
2025-03-14,35600,36700,34900,35000,51524
2025-03-17,35000,36150,35000,35550,35660
2025-03-18,35900,35900,34950,35100,25722
2025-03-19,35250,36700,34850,35650,64607
2025-03-20,35800,36200,35050,35150,41796
2025-03-21,35250,35250,33750,33750,204140
2025-03-24,33750,34500,33750,34350,35811
2025-03-25,34250,35000,33800,33850,31825
2025-03-26,34250,35400,34250,34800,69719
2025-03-27,34850,35150,34300,34300,29109
2025-03-28,34300,34450,33250,33250,36792
2025-03-31,33050,33050,31850,32450,59787
2025-04-01,32800,33000,32000,32750,37771
2025-04-02,32550,32750,32150,32600,32348
2025-04-03,31600,32200,31300,31500,95181
2025-04-04,31500,32150,30900,32050,36736
2025-04-07,30600,31150,29650,29700,73524
2025-04-08,30250,31150,29300,29550,56017
2025-04-09,29150,29450,27900,28150,89711
2025-04-10,29250,30100,29050,30050,82741
2025-04-11,29700,29950,29150,29900,41451
2025-04-14,30000,30300,29750,30000,25507
2025-04-15,29750,30500,29750,30350,20587
2025-04-16,30500,30700,30150,30200,25328
2025-04-17,30500,30500,30050,30250,25821
2025-04-18,30100,30500,30100,30250,13565
2025-04-21,30250,30550,29950,30500,32430
2025-04-22,30200,30850,30150,30550,31731
2025-04-23,30850,32000,30750,31550,59848
2025-04-24,31550,31850,31400,31800,17332
2025-04-25,32050,32500,31850,32200,35694
2025-04-28,32100,32700,32100,32500,21439
2025-04-29,32550,33100,32300,32900,22626
2025-04-30,32400,32950,31250,32500,37593
2025-05-02,32150,32700,32000,32350,22088
2025-05-07,33000,34000,32400,33700,55798
2025-05-08,33700,34550,33450,33850,46889
2025-05-09,33850,35150,33100,33450,74969
2025-05-12,34300,37300,34000,37250,204286
2025-05-13,36750,37800,36750,37750,79716
2025-05-14,37800,38300,36900,37650,65133
2025-05-15,37300,39600,37150,38850,101011
2025-05-16,38800,40450,38700,40450,164201
2025-05-19,39800,40600,39050,39400,65582
2025-05-20,40250,40300,38750,39400,54587
2025-05-21,39400,40200,38900,39050,73082
2025-05-22,38900,40450,38200,39600,80209
2025-05-23,39450,41900,39400,41650,128147
2025-05-26,42100,42300,40850,41750,45093
2025-05-27,41300,42050,41100,41500,33023
2025-05-28,41850,44350,41850,42800,181775
2025-05-29,43100,46100,42700,46100,191302
2025-05-30,45700,46050,44150,44250,132596
2025-06-02,43700,44750,43000,44400,96467
2025-06-04,44200,50400,44200,49900,351715
2025-06-05,51500,51600,47750,48500,233031
2025-06-09,49300,50200,48450,48450,144572
